dt = 0.001000
Temps;Energie
0.000000;5.018461
0.100000;4.891641
0.200000;5.080856
0.300000;5.074181
0.400000;5.053891
0.500000;5.037951
0.600000;5.026210
0.700000;5.027502
0.800000;5.034077
0.900000;5.016285
1.000000;5.030679
1.100000;5.026309
1.200000;5.019489
1.300000;5.015756
1.400000;5.027763
1.500000;5.018107
1.600000;5.020917
1.700000;5.027651
1.800000;5.022363
1.900000;5.017136
2.000000;5.019269
2.100000;5.017943
2.200000;5.024103
2.300000;5.018763
2.400000;5.024531
2.500000;5.020566
2.600000;5.021693
2.700000;5.016321
2.800000;5.015410
2.900000;5.019568
3.000000;5.022182
3.100000;5.010968
3.200000;5.018514
3.300000;5.016388
3.400000;5.009911
3.500000;5.030870
3.600000;5.002606
3.700000;5.014404
3.800000;5.018344
3.900000;5.004852
4.000000;5.039762
4.100000;5.024055
4.200000;5.029296
4.300000;5.029072
4.400000;5.023531
4.500000;5.013220
4.600000;5.004944
4.700000;4.995751
4.800000;5.099188
4.900000;4.917198
5.000000;5.026614
5.100000;5.023567
5.200000;5.044433
5.300000;5.033064
5.400000;5.036031
5.500000;5.026024
5.600000;5.023124
5.700000;5.027648
5.800000;5.027156
5.900000;5.016291
6.000000;5.021347
6.100000;5.026098
6.200000;5.023173
6.300000;5.020723
6.400000;5.018518
6.500000;5.016578
6.600000;5.018352
6.700000;5.023792
6.800000;5.013490
6.900000;5.013776
7.000000;5.018500
7.100000;5.017427
7.200000;5.043746
7.300000;4.990453
7.400000;5.014654
7.500000;5.067206
7.600000;4.986507
7.700000;5.031863
7.800000;5.024337
7.900000;5.012998
8.000000;5.031682
8.100000;5.003314
8.200000;5.029318
8.300000;5.033050
8.400000;5.026221
8.500000;5.019881
8.600000;5.013248
8.700000;5.008188
8.800000;5.045464
8.900000;4.986128
9.000000;5.027984
9.100000;5.027485
9.200000;5.015488
9.300000;5.004162
9.400000;5.068787
9.500000;4.967316
9.600000;5.035010
9.700000;5.030947
9.800000;5.025430
9.900000;5.022126
10.000000;5.021283
10.100000;5.021949
10.200000;5.021098
10.300000;5.020031
10.400000;5.019950
10.500000;5.018557
10.600000;5.016690
10.700000;5.013358
10.800000;5.021197
10.900000;5.023328
11.000000;5.001560
11.100000;5.012567
11.200000;5.010568
11.300000;5.052203
11.400000;4.939751
11.500000;4.999532
11.600000;5.044924
11.700000;5.029998
11.800000;5.032978
11.900000;5.029388
12.000000;5.026267
12.100000;5.023254
12.200000;5.019631
12.300000;5.015449
12.400000;5.019889
12.500000;5.023049
12.600000;5.010431
12.700000;5.024977
12.800000;5.023336
12.900000;5.015256
13.000000;5.011964
13.100000;5.011617
13.200000;5.024846
13.300000;4.979590
13.400000;5.055509
13.500000;4.889219
13.600000;4.851900
13.700000;5.060379
13.800000;5.024571
13.900000;5.025540
14.000000;5.019518
14.100000;5.034296
14.200000;5.001061
14.300000;5.011088
14.400000;4.996326
14.500000;5.252947
14.600000;5.021066
14.700000;5.032572
14.800000;5.021941
14.900000;5.046317
15.000000;5.003700
15.100000;5.023609
15.200000;5.027572
15.300000;5.019109
15.400000;5.036050
15.500000;5.001413
15.600000;5.022594
15.700000;5.020991
15.800000;5.031922
15.900000;5.022245
16.000000;5.023204
16.100000;5.024849
16.200000;5.018668
16.300000;5.018592
16.400000;5.023066
16.500000;5.019150
16.600000;5.021128
16.700000;5.021464
16.800000;5.011252
16.900000;5.045225
17.000000;4.988430
17.100000;5.031962
17.200000;5.021331
17.300000;5.017947
17.400000;5.029770
17.500000;5.011723
17.600000;5.024714
17.700000;5.023328
17.800000;5.015602
17.900000;5.008687
18.000000;5.022581
18.100000;5.004929
18.200000;5.058561
18.300000;5.020021
18.400000;5.020668
18.500000;5.022581
18.600000;5.024652
18.700000;5.011270
18.800000;5.014578
18.900000;5.048243
19.000000;5.017485
19.100000;5.031097
19.200000;5.021503
19.300000;5.018786
19.400000;5.021525
19.500000;5.000094
19.600000;5.050605
19.700000;5.011776
19.800000;5.030507
19.900000;5.022148
20.000000;5.028880
20.100000;5.011375
20.200000;5.016548
20.300000;5.014445
20.400000;5.026919
20.500000;5.033097
20.600000;5.012072
20.700000;5.023688
20.800000;5.013708
20.900000;5.040949
21.000000;5.001877
21.100000;5.036960
21.200000;5.025025
21.300000;5.025402
21.400000;5.012901
21.500000;5.028019
21.600000;5.010879
21.700000;5.018400
21.800000;5.029683
21.900000;5.020591
22.000000;5.014977
22.100000;5.033732
22.200000;5.015356
22.300000;5.021340
22.400000;5.014161
22.500000;5.015289
22.600000;5.030364
22.700000;5.022800
22.800000;5.025368
22.900000;5.028374
23.000000;5.022236
23.100000;5.012450
23.200000;5.017917
23.300000;5.029459
23.400000;5.002835
23.500000;5.031994
23.600000;5.019217
23.700000;5.014651
23.800000;5.017427
23.900000;5.023458
24.000000;5.023840
24.100000;5.025606
24.200000;5.037561
24.300000;5.008202
24.400000;5.025411
24.500000;5.011870
24.600000;5.018316
24.700000;5.039040
24.800000;5.009333
24.900000;5.033423
25.000000;5.023564
25.100000;5.020320
25.200000;5.017829
25.300000;5.012782
25.400000;5.035097
25.500000;5.001813
25.600000;5.033461
25.700000;5.026821
25.800000;5.023691
25.900000;5.020302
26.000000;5.015681
26.100000;5.014102
26.200000;5.023985
26.300000;5.015591
26.400000;5.021954
26.500000;5.023409
26.600000;5.029365
26.700000;5.019274
26.800000;5.021246
26.900000;5.023505
27.000000;5.019391
27.100000;5.023877
27.200000;5.027159
27.300000;5.027138
27.400000;5.018532
27.500000;5.017431
27.600000;5.017782
27.700000;5.015484
27.800000;5.013708
27.900000;5.030937
28.000000;5.022531
28.100000;5.027597
28.200000;5.021534
28.300000;5.017581
28.400000;5.016566
28.500000;5.030183
28.600000;5.024730
28.700000;5.016054
28.800000;5.025670
28.900000;5.027012
29.000000;5.003735
29.100000;5.037724
29.200000;5.012337
29.300000;5.022759
29.400000;5.028872
29.500000;5.016911
29.600000;5.016322
29.700000;5.028440
29.800000;5.011029
29.900000;5.036048
30.000000;5.025115
30.100000;5.020949
30.200000;5.027820
30.300000;5.013736
30.400000;5.027119
30.500000;5.023071
30.600000;5.012787
30.700000;5.015801
30.800000;5.036663
30.900000;5.007680
31.000000;5.027951
31.100000;5.022493
31.200000;5.022310
31.300000;5.021600
31.400000;5.020480
31.500000;5.017809
31.600000;5.030208
31.700000;5.011248
31.800000;5.018612
31.900000;5.017643
32.000000;5.030290
32.100000;5.016021
32.200000;5.026786
32.300000;5.013117
32.400000;5.019919
32.500000;5.021920
32.600000;5.018168
32.700000;5.029266
32.800000;5.019018
32.900000;5.039522
33.000000;5.008925
33.100000;5.035253
33.200000;5.008031
33.300000;5.028433
33.400000;5.017512
33.500000;5.030663
33.600000;5.003142
33.700000;5.028331
33.800000;5.010611
33.900000;5.031022
34.000000;5.024329
34.100000;5.017610
34.200000;5.015610
34.300000;5.019153
34.400000;5.029154
34.500000;5.020892
34.600000;5.027903
34.700000;5.018131
34.800000;5.027350
34.900000;5.011701
35.000000;5.027922
35.100000;5.020027
35.200000;5.018044
35.300000;5.030100
35.400000;5.008510
35.500000;5.018492
35.600000;5.030042
35.700000;5.011903
35.800000;5.029982
35.900000;5.017286
36.000000;5.010748
36.100000;5.026012
36.200000;5.010028
36.300000;5.033803
36.400000;5.023441
36.500000;5.021201
36.600000;5.019712
36.700000;5.026346
36.800000;5.017679
36.900000;5.016261
37.000000;5.012546
37.100000;5.023039
37.200000;5.030346
37.300000;5.014842
37.400000;5.021113
37.500000;5.024733
37.600000;5.013760
37.700000;5.026420
37.800000;5.021142
37.900000;5.013247
38.000000;5.026263
38.100000;5.014940
38.200000;5.024984
38.300000;5.009761
38.400000;5.022280
38.500000;5.027488
38.600000;5.022204
38.700000;5.023888
38.800000;5.017231
38.900000;5.022272
39.000000;5.023158
39.100000;5.017028
39.200000;5.025795
39.300000;5.018547
39.400000;5.013185
39.500000;5.016195
39.600000;5.010005
39.700000;5.029659
39.800000;5.030575
39.900000;5.017286
40.000000;5.020316
40.100000;5.019701
40.200000;5.015096
40.300000;5.028798
40.400000;5.022375
40.500000;5.022041
40.600000;5.025436
40.700000;5.013261
40.800000;5.021526
40.900000;5.015755
41.000000;5.035328
41.100000;5.015409
41.200000;5.023032
41.300000;5.018540
41.400000;5.021176
41.500000;5.003169
41.600000;5.026186
41.700000;5.032390
41.800000;5.022054
41.900000;5.013702
42.000000;5.021205
42.100000;5.011005
42.200000;5.040851
42.300000;5.020177
42.400000;5.031620
42.500000;5.023964
42.600000;5.018857
42.700000;5.013654
42.800000;5.017647
42.900000;5.018918
43.000000;5.022798
43.100000;5.028419
43.200000;5.022792
43.300000;5.021249
43.400000;5.014967
43.500000;5.023869
43.600000;5.017557
43.700000;5.027341
43.800000;5.026511
43.900000;5.019970
44.000000;5.017485
44.100000;5.016496
44.200000;5.018631
44.300000;5.028409
44.400000;5.019199
44.500000;5.026144
44.600000;5.021237
44.700000;5.016630
44.800000;5.017706
44.900000;5.022669
45.000000;5.014173
45.100000;5.024246
45.200000;5.020405
45.300000;5.023794
45.400000;5.018649
45.500000;5.017963
45.600000;5.026279
45.700000;5.007740
45.800000;5.031100
45.900000;5.018072
46.000000;5.026932
46.100000;5.016015
46.200000;5.033638
46.300000;4.999812
46.400000;5.020210
46.500000;5.031312
46.600000;5.008927
46.700000;5.020870
46.800000;5.026945
46.900000;5.021053
47.000000;5.024710
47.100000;5.025055
47.200000;5.026284
47.300000;5.017399
47.400000;5.023013
47.500000;5.022202
47.600000;5.015905
47.700000;5.013853
47.800000;5.024380
47.900000;5.024662
48.000000;5.023288
48.100000;5.024687
48.200000;5.016917
48.300000;5.019717
48.400000;5.025828
48.500000;5.013348
48.600000;5.020130
48.700000;5.024439
48.800000;5.016377
48.900000;5.026058
49.000000;5.020807
49.100000;5.018408
49.200000;5.024987
49.300000;5.012252
49.400000;5.018629
49.500000;5.024292
49.600000;5.006875
49.700000;5.029698
49.800000;5.018831
49.900000;5.019603
50.000000;5.029833
50.100000;5.012904
50.200000;5.007118
50.300000;5.023640
50.400000;5.027774
50.500000;5.014743
50.600000;5.020046
50.700000;5.018389
50.800000;5.017133
50.900000;5.029453
51.000000;5.019905
51.100000;5.026352
51.200000;5.028716
51.300000;5.012742
51.400000;5.023276
51.500000;5.020907
51.600000;5.021012
51.700000;5.022255
51.800000;5.014952
51.900000;5.036950
52.000000;5.012183
52.100000;5.032920
52.200000;5.025543
52.300000;5.024121
52.400000;5.019680
52.500000;5.012707
52.600000;5.026757
52.700000;5.012245
52.800000;5.033542
52.900000;5.017648
53.000000;5.017463
53.100000;5.019647
53.200000;5.006493
53.300000;5.025783
53.400000;5.025343
53.500000;5.030601
53.600000;5.012992
53.700000;5.025348
53.800000;5.021419
53.900000;5.020426
54.000000;5.026541
54.100000;5.019003
54.200000;5.019709
54.300000;5.021269
54.400000;5.004871
54.500000;5.038272
54.600000;4.993604
54.700000;5.015394
54.800000;5.044643
54.900000;5.016645
55.000000;5.023976
55.100000;5.025564
55.200000;5.013412
55.300000;5.018994
55.400000;5.026562
55.500000;5.020905
55.600000;5.027436
55.700000;5.025820
55.800000;5.026525
55.900000;5.015433
56.000000;5.018145
56.100000;5.017709
56.200000;5.022501
56.300000;5.018622
56.400000;5.022721
56.500000;5.008637
56.600000;5.025773
56.700000;5.024193
56.800000;5.028989
56.900000;5.013884
57.000000;5.018939
57.100000;5.032624
57.200000;5.015872
57.300000;5.020303
57.400000;5.021430
57.500000;5.024627
57.600000;5.015168
57.700000;5.027841
57.800000;5.022509
57.900000;5.018825
58.000000;5.027968
58.100000;5.015311
58.200000;5.017409
58.300000;5.025234
58.400000;5.018482
58.500000;5.019157
58.600000;5.027297
58.700000;5.009211
58.800000;5.018946
58.900000;5.005196
59.000000;5.031181
59.100000;5.021532
59.200000;5.026728
59.300000;5.023207
59.400000;5.011920
59.500000;5.016720
59.600000;5.010900
59.700000;5.036051
59.800000;5.025275
59.900000;5.022829
60.000000;5.015350
60.100000;5.031986
60.200000;5.009060
60.300000;5.021535
60.400000;5.041415
60.500000;5.008757
60.600000;5.027346
60.700000;5.020951
60.800000;5.020312
60.900000;5.015580
61.000000;5.029509
61.100000;5.010096
61.200000;5.025018
61.300000;5.024163
61.400000;5.024551
61.500000;5.015950
61.600000;5.033913
61.700000;5.008591
61.800000;5.022451
61.900000;5.021590
62.000000;5.019331
62.100000;5.014083
62.200000;5.034526
62.300000;5.009564
62.400000;5.030246
62.500000;5.021900
62.600000;5.024545
62.700000;5.017321
62.800000;5.027774
62.900000;5.013935
63.000000;5.021050
63.100000;5.033153
63.200000;5.004355
63.300000;5.027152
63.400000;5.019686
63.500000;5.026303
63.600000;5.024905
63.700000;5.016922
63.800000;5.025310
63.900000;5.020799
64.000000;5.013201
64.100000;5.023649
64.200000;5.016344
64.300000;5.022216
64.400000;5.020009
64.500000;5.022018
64.600000;5.017513
64.700000;5.018197
64.800000;5.022801
64.900000;5.024413
65.000000;5.026192
65.100000;5.026339
65.200000;5.021213
65.300000;5.018111
65.400000;5.026501
65.500000;5.004394
65.600000;5.034314
65.700000;5.014245
65.800000;5.027625
65.900000;5.023903
66.000000;5.019238
66.100000;5.019780
66.200000;5.019133
66.300000;5.023199
66.400000;5.022997
66.500000;5.025586
66.600000;5.019205
66.700000;5.020378
66.800000;5.016711
66.900000;5.026243
67.000000;5.016986
67.100000;5.026854
67.200000;5.018062
67.300000;5.023173
67.400000;5.013646
67.500000;5.019974
67.600000;5.020242
67.700000;5.031355
67.800000;5.018432
67.900000;5.022902
68.000000;5.026982
68.100000;5.018908
68.200000;5.018780
68.300000;5.019184
68.400000;5.028346
68.500000;5.018266
68.600000;5.024930
68.700000;5.017855
68.800000;5.021771
68.900000;5.015306
69.000000;5.019180
69.100000;5.023323
69.200000;5.018528
69.300000;5.021775
69.400000;5.020691
69.500000;5.022744
69.600000;5.015986
69.700000;5.021982
69.800000;5.027543
69.900000;5.023732
70.000000;5.019776
70.100000;5.021998
70.200000;5.017770
70.300000;5.019874
70.400000;5.025056
70.500000;5.018763
70.600000;5.014214
70.700000;5.024322
70.800000;5.024473
70.900000;5.013009
71.000000;5.022542
71.100000;5.023089
71.200000;5.024468
71.300000;5.021193
71.400000;5.018063
71.500000;5.020065
71.600000;5.016101
71.700000;5.027723
71.800000;5.016306
71.900000;5.027379
72.000000;5.011483
72.100000;5.039393
72.200000;5.015824
72.300000;5.015176
