dt = 0.000001
Temps;Energie
0.000000;5.018461
0.100000;5.018330
0.200000;5.018520
0.300000;5.018514
0.400000;5.018493
0.500000;5.018478
0.600000;5.018466
0.700000;5.018467
0.800000;5.018474
0.900000;5.018456
1.000000;5.018470
1.100000;5.018466
1.200000;5.018459
1.300000;5.018455
1.400000;5.018467
1.500000;5.018458
1.600000;5.018460
1.700000;5.018467
1.800000;5.018462
1.900000;5.018457
2.000000;5.018459
2.100000;5.018457
2.200000;5.018464
2.300000;5.018458
2.400000;5.018464
2.500000;5.018460
2.600000;5.018461
2.700000;5.018456
2.800000;5.018455
2.900000;5.018459
3.000000;5.018462
3.100000;5.018450
3.200000;5.018458
3.300000;5.018456
3.400000;5.018449
3.500000;5.018471
3.600000;5.018441
3.700000;5.018454
3.800000;5.018459
3.900000;5.018441
4.000000;5.018480
4.100000;5.018464
4.200000;5.018469
4.300000;5.018468
4.400000;5.018463
4.500000;5.018453
4.600000;5.018444
4.700000;5.018436
4.800000;5.018545
4.900000;5.018359
5.000000;5.018468
5.100000;5.018460
5.200000;5.018512
5.300000;5.018462
5.400000;5.018476
5.500000;5.018466
5.600000;5.018464
5.700000;5.018467
5.800000;5.018466
5.900000;5.018456
6.000000;5.018462
6.100000;5.018465
6.200000;5.018462
6.300000;5.018460
6.400000;5.018458
6.500000;5.018457
6.600000;5.018460
6.700000;5.018462
6.800000;5.018452
6.900000;5.018455
7.000000;5.018459
7.100000;5.018457
7.200000;5.018482
7.300000;5.018432
7.400000;5.018449
7.500000;5.018495
7.600000;5.018425
7.700000;5.018472
7.800000;5.018469
7.900000;5.018470
8.000000;5.018464
8.100000;5.018453
8.200000;5.018456
8.300000;5.018491
8.400000;5.018445
8.500000;5.018467
8.600000;5.018457
8.700000;5.018445
8.800000;5.018452
8.900000;5.018492
9.000000;5.018448
9.100000;5.018481
9.200000;5.018468
9.300000;5.018454
9.400000;5.018463
9.500000;5.018416
9.600000;5.018457
9.700000;5.018451
9.800000;5.018496
9.900000;5.018433
10.000000;5.018475
10.100000;5.018468
10.200000;5.018456
10.300000;5.018439
10.400000;5.018550
10.500000;5.018457
10.600000;5.018465
10.700000;5.018455
10.800000;5.018459
10.900000;5.018459
11.000000;5.018469
11.100000;5.018436
11.200000;5.018488
11.300000;5.018471
11.400000;5.018459
11.500000;5.018445
11.600000;5.018431
11.700000;5.018547
11.800000;5.018440
11.900000;5.018486
12.000000;5.018472
12.100000;5.018461
12.200000;5.018451
12.300000;5.018448
12.400000;5.018463
12.500000;5.018490
12.600000;5.018455
12.700000;5.018476
12.800000;5.018464
12.900000;5.018455
13.000000;5.018464
13.100000;5.018441
13.200000;5.018447
