dt = 0.000100
Temps;Energie
0.000000;5.018461
0.100000;5.005399
0.200000;5.024445
0.300000;5.023794
0.400000;5.021764
0.500000;5.020169
0.600000;5.018993
0.700000;5.019116
0.800000;5.019783
0.900000;5.017991
1.000000;5.019437
1.100000;5.019002
1.200000;5.018320
1.300000;5.017945
1.400000;5.019141
1.500000;5.018185
1.600000;5.018456
1.700000;5.019136
1.800000;5.018608
1.900000;5.018084
2.000000;5.018295
2.100000;5.018161
2.200000;5.018784
2.300000;5.018241
2.400000;5.018823
2.500000;5.018427
2.600000;5.018538
2.700000;5.018004
2.800000;5.017909
2.900000;5.018321
3.000000;5.018588
3.100000;5.017463
3.200000;5.018212
3.300000;5.018003
3.400000;5.017361
3.500000;5.019514
3.600000;5.016552
3.700000;5.017796
3.800000;5.018297
3.900000;5.016467
4.000000;5.020384
4.100000;5.018793
4.200000;5.019278
4.300000;5.019262
4.400000;5.018709
4.500000;5.017666
4.600000;5.016836
4.700000;5.015989
4.800000;5.026957
4.900000;5.008334
5.000000;5.019240
5.100000;5.018372
5.200000;5.023639
5.300000;5.018660
5.400000;5.020015
5.500000;5.019012
5.600000;5.018808
5.700000;5.019145
5.800000;5.019063
5.900000;5.018024
6.000000;5.018591
6.100000;5.018962
6.200000;5.018664
6.300000;5.018378
6.400000;5.018196
6.500000;5.018090
6.600000;5.018387
6.700000;5.018624
6.800000;5.017663
6.900000;5.017962
7.000000;5.018284
7.100000;5.018132
7.200000;5.020616
7.300000;5.015628
7.400000;5.017330
7.500000;5.021884
7.600000;5.014962
7.700000;5.019603
7.800000;5.019338
7.900000;5.019441
8.000000;5.018769
8.100000;5.017664
8.200000;5.018048
8.300000;5.021640
8.400000;5.017176
8.500000;5.019125
8.600000;5.018056
8.700000;5.016857
8.800000;5.017639
8.900000;5.021513
9.000000;5.017189
9.100000;5.020560
9.200000;5.019186
9.300000;5.017899
9.400000;5.019006
9.500000;5.014311
9.600000;5.018143
9.700000;5.017306
9.800000;5.021958
9.900000;5.014897
10.000000;5.020039
10.100000;5.019497
10.200000;5.018292
10.300000;5.016972
10.400000;5.016948
10.500000;5.013368
10.600000;5.020319
10.700000;5.018854
10.800000;5.019305
10.900000;5.018403
11.000000;5.016238
11.100000;5.018698
11.200000;5.019520
11.300000;5.018134
11.400000;5.020948
11.500000;5.019439
11.600000;5.018265
11.700000;5.017794
11.800000;5.018144
11.900000;5.017076
12.000000;5.018427
12.100000;5.018883
12.200000;5.019631
12.300000;5.019064
12.400000;5.019626
12.500000;5.018833
12.600000;5.017883
12.700000;5.016744
12.800000;5.017025
12.900000;5.022381
13.000000;5.018085
13.100000;5.020640
13.200000;5.019137
13.300000;5.018292
13.400000;5.019007
13.500000;5.018389
13.600000;5.018840
13.700000;5.018890
13.800000;5.018411
13.900000;5.018160
14.000000;5.018194
14.100000;5.017887
14.200000;5.018970
14.300000;5.017945
14.400000;5.017993
14.500000;5.019900
14.600000;5.016815
14.700000;5.017097
14.800000;5.019383
14.900000;5.018819
15.000000;5.018112
15.100000;5.016865
15.200000;5.018171
15.300000;5.018518
15.400000;5.017370
15.500000;5.019952
15.600000;5.019531
15.700000;5.018523
15.800000;5.017593
15.900000;5.016970
16.000000;5.019069
16.100000;5.017193
16.200000;5.019345
16.300000;5.019994
16.400000;5.018691
16.500000;5.017934
16.600000;5.019115
16.700000;5.017728
16.800000;5.018755
16.900000;5.018816
17.000000;5.018153
17.100000;5.018667
17.200000;5.018018
17.300000;5.018426
17.400000;5.018378
17.500000;5.018604
17.600000;5.018547
17.700000;5.018313
17.800000;5.018183
17.900000;5.016983
18.000000;5.021801
18.100000;5.019135
18.200000;5.020608
18.300000;5.016480
18.400000;5.019868
18.500000;5.018729
18.600000;5.018347
18.700000;5.018997
18.800000;5.018774
18.900000;5.017528
19.000000;5.019244
19.100000;5.018857
19.200000;5.019073
19.300000;5.018320
19.400000;5.018313
19.500000;5.017539
19.600000;5.020638
