dt = 0.002000
Temps;Energie
0.000000;5601.470947
0.010000;5521.581588
0.020000;5713.141639
0.030000;5728.405534
0.040000;5729.432983
0.050000;5729.243049
0.060000;5729.051416
0.070000;5728.936563
0.080000;5728.872225
0.090000;5728.836006
0.100000;5728.815126
0.110000;5728.802742
0.120000;5728.795184
0.130000;5728.790446
0.140000;5728.787402
0.150000;5728.785400
0.160000;5728.784057
0.170000;5728.783138
0.180000;5728.782499
0.190000;5728.782047
0.200000;5728.781723
0.210000;5728.781488
0.220000;5728.781314
0.230000;5728.781185
0.240000;5728.781088
0.250000;5728.781014
0.260000;5728.780958
0.270000;5728.780914
0.280000;5728.780880
0.290000;5728.780853
0.300000;5728.780832
0.310000;5728.780815
0.320000;5728.780802
0.330000;5728.780791
0.340000;5728.780782
0.350000;5728.780775
0.360000;5728.780769
0.370000;5728.780764
0.380000;5728.780760
0.390000;5728.780756
0.400000;5728.780754
0.410000;5728.780751
0.420000;5728.780749
0.430000;5728.780748
0.440000;5728.780746
0.450000;5728.780745
0.460000;5728.780744
0.470000;5728.780743
0.480000;5728.780742
0.490000;5728.780742
