dt = 0.005000
Temps;Energie
0.000000;5601.470947
0.010000;7143.974489
0.020000;7506.065003
0.030000;7522.297019
0.040000;7524.640619
0.050000;7524.839852
0.060000;7524.688047
0.070000;7524.528980
0.080000;7524.413009
0.090000;7524.335102
0.100000;7524.283751
0.110000;7524.249829
0.120000;7524.227186
0.130000;7524.211864
0.140000;7524.201343
0.150000;7524.194013
0.160000;7524.188833
0.170000;7524.185123
0.180000;7524.182431
0.190000;7524.180455
0.200000;7524.178988
0.210000;7524.177887
0.220000;7524.177053
0.230000;7524.176415
0.240000;7524.175923
0.250000;7524.175540
0.260000;7524.175241
0.270000;7524.175004
0.280000;7524.174816
0.290000;7524.174666
0.300000;7524.174545
0.310000;7524.174447
0.320000;7524.174367
0.330000;7524.174302
0.340000;7524.174248
0.350000;7524.174204
0.360000;7524.174167
0.370000;7524.174137
0.380000;7524.174111
0.390000;7524.174090
0.400000;7524.174072
0.410000;7524.174056
0.420000;7524.174043
0.430000;7524.174032
0.440000;7524.174023
0.450000;7524.174015
0.460000;7524.174008
0.470000;7524.174002
0.480000;7524.173996
0.490000;7524.173992
