dt = 0.000002
Temps;Energie
0.000000;5601.470947
0.010000;5601.223786
0.020000;5601.451548
0.030000;5601.470410
0.040000;5601.471732
0.050000;5601.471553
0.060000;5601.471351
0.070000;5601.471229
0.080000;5601.471160
0.090000;5601.471122
0.100000;5601.471100
0.110000;5601.471087
0.120000;5601.471079
0.130000;5601.471074
0.140000;5601.471071
0.150000;5601.471069
0.160000;5601.471068
0.170000;5601.471067
0.180000;5601.471066
0.190000;5601.471065
0.200000;5601.471065
0.210000;5601.471065
0.220000;5601.471065
0.230000;5601.471065
0.240000;5601.471064
0.250000;5601.471064
0.260000;5601.471064
0.270000;5601.471064
0.280000;5601.471064
0.290000;5601.471064
0.300000;5601.471064
0.310000;5601.471064
0.320000;5601.471064
0.330000;5601.471064
0.340000;5601.471064
0.350000;5601.471064
0.360000;5601.471064
0.370000;5601.471064
0.380000;5601.471064
0.390000;5601.471064
0.400000;5601.471064
0.410000;5601.471064
0.420000;5601.471064
0.430000;5601.471064
0.440000;5601.471064
0.450000;5601.471064
0.460000;5601.471064
0.470000;5601.471064
0.480000;5601.471064
0.490000;5601.471064
