dt = 0.000125
Temps;Energie
0.000000;5601.470947
0.010000;5586.630123
0.020000;5600.722991
0.030000;5601.889505
0.040000;5601.971066
0.050000;5601.959774
0.060000;5601.947172
0.070000;5601.939563
0.080000;5601.935306
0.090000;5601.932917
0.100000;5601.931545
0.110000;5601.930734
0.120000;5601.930241
0.130000;5601.929932
0.140000;5601.929734
0.150000;5601.929605
0.160000;5601.929518
0.170000;5601.929459
0.180000;5601.929417
0.190000;5601.929388
0.200000;5601.929368
0.210000;5601.929352
0.220000;5601.929341
0.230000;5601.929333
0.240000;5601.929327
0.250000;5601.929322
0.260000;5601.929319
0.270000;5601.929316
0.280000;5601.929314
0.290000;5601.929312
0.300000;5601.929311
0.310000;5601.929309
0.320000;5601.929309
0.330000;5601.929308
0.340000;5601.929307
0.350000;5601.929307
0.360000;5601.929307
0.370000;5601.929306
0.380000;5601.929306
0.390000;5601.929306
0.400000;5601.929306
0.410000;5601.929305
0.420000;5601.929305
0.430000;5601.929305
0.440000;5601.929305
0.450000;5601.929305
0.460000;5601.929305
0.470000;5601.929305
0.480000;5601.929305
0.490000;5601.929305
0.500000;5601.929305
