dt = 0.000200
Temps;Energie
0.000000;5601.470947
0.010000;5578.317580
0.020000;5600.728037
0.030000;5602.582226
0.040000;5602.711673
0.050000;5602.693542
0.060000;5602.673402
0.070000;5602.661246
0.080000;5602.654446
0.090000;5602.650630
0.100000;5602.648438
0.110000;5602.647142
0.120000;5602.646353
0.130000;5602.645860
0.140000;5602.645544
0.150000;5602.645337
0.160000;5602.645198
0.170000;5602.645103
0.180000;5602.645038
0.190000;5602.644991
0.200000;5602.644958
0.210000;5602.644934
0.220000;5602.644916
0.230000;5602.644903
0.240000;5602.644893
0.250000;5602.644885
0.260000;5602.644879
0.270000;5602.644875
0.280000;5602.644872
0.290000;5602.644869
0.300000;5602.644867
0.310000;5602.644865
0.320000;5602.644864
0.330000;5602.644862
0.340000;5602.644862
0.350000;5602.644861
0.360000;5602.644860
0.370000;5602.644860
0.380000;5602.644859
0.390000;5602.644859
0.400000;5602.644859
0.410000;5602.644858
0.420000;5602.644858
0.430000;5602.644858
0.440000;5602.644858
0.450000;5602.644858
0.460000;5602.644858
0.470000;5602.644858
0.480000;5602.644858
0.490000;5602.644858
0.500000;5602.644857
