dt = 0.001000
Temps;Energie
0.000000;131.460731
0.100000;131.491570
0.200000;131.535712
0.300000;131.504014
0.400000;131.492866
0.500000;131.488818
0.600000;131.487147
0.700000;131.486364
0.800000;131.485956
0.900000;131.485723
1.000000;131.485579
1.100000;131.485486
1.200000;131.485422
1.300000;131.485376
1.400000;131.485342
1.500000;131.485317
1.600000;131.485297
1.700000;131.485281
1.800000;131.485268
1.900000;131.485258
2.000000;131.485249
2.100000;131.485241
2.200000;131.485234
2.300000;131.485228
2.400000;131.485223
2.500000;131.485218
2.600000;131.485213
2.700000;131.485208
2.800000;131.485202
2.900000;131.485197
3.000000;131.485191
3.100000;131.485184
3.200000;131.485176
3.300000;131.485166
3.400000;131.485154
3.500000;131.485138
3.600000;131.485117
3.700000;131.485087
3.800000;131.485044
3.900000;131.484979
4.000000;131.484873
4.100000;131.484690
4.200000;131.484343
4.300000;131.483611
4.400000;131.482008
4.500000;131.482911
4.600000;131.486885
4.700000;131.487129
4.800000;131.488468
4.900000;131.486832
5.000000;131.486084
5.100000;131.485730
5.200000;131.485544
5.300000;131.485437
5.400000;131.485371
5.500000;131.485328
5.600000;131.485298
5.700000;131.485277
5.800000;131.485262
5.900000;131.485250
6.000000;131.485241
6.100000;131.485234
6.200000;131.485228
6.300000;131.485223
6.400000;131.485219
6.500000;131.485215
6.600000;131.485212
6.700000;131.485208
6.800000;131.485206
6.900000;131.485203
7.000000;131.485200
7.100000;131.485197
7.200000;131.485194
7.300000;131.485190
7.400000;131.485186
7.500000;131.485182
7.600000;131.485176
7.700000;131.485170
7.800000;131.485162
7.900000;131.485152
8.000000;131.485138
8.100000;131.485120
8.200000;131.485095
8.300000;131.485059
8.400000;131.485006
8.500000;131.484922
8.600000;131.484780
8.700000;131.484523
8.800000;131.484005
8.900000;131.482861
9.000000;131.481007
9.100000;131.500837
9.200000;131.473145
9.300000;131.489332
9.400000;131.487416
9.500000;131.486344
9.600000;131.485856
9.700000;131.485611
9.800000;131.485476
9.900000;131.485395
10.000000;131.485343
