dt = 0.000100
Temps;Energie
0.000000;131.460731
0.100000;131.461465
0.200000;131.466041
0.300000;131.462863
0.400000;131.461744
0.500000;131.461338
0.600000;131.461171
0.700000;131.461092
0.800000;131.461052
0.900000;131.461028
1.000000;131.461014
1.100000;131.461004
1.200000;131.460998
1.300000;131.460993
1.400000;131.460990
1.500000;131.460987
1.600000;131.460986
1.700000;131.460984
1.800000;131.460983
1.900000;131.460982
2.000000;131.460981
2.100000;131.460980
2.200000;131.460979
2.300000;131.460979
2.400000;131.460978
2.500000;131.460978
2.600000;131.460977
2.700000;131.460977
2.800000;131.460976
2.900000;131.460976
3.000000;131.460975
3.100000;131.460974
3.200000;131.460973
3.300000;131.460973
3.400000;131.460971
3.500000;131.460970
3.600000;131.460968
3.700000;131.460965
3.800000;131.460961
3.900000;131.460954
4.000000;131.460944
4.100000;131.460927
4.200000;131.460894
4.300000;131.460825
4.400000;131.460673
4.500000;131.460666
4.600000;131.461909
4.700000;131.461040
4.800000;131.461319
4.900000;131.461148
5.000000;131.461068
5.100000;131.461031
5.200000;131.461011
5.300000;131.461000
5.400000;131.460993
5.500000;131.460989
5.600000;131.460986
5.700000;131.460984
5.800000;131.460982
5.900000;131.460981
6.000000;131.460980
6.100000;131.460979
6.200000;131.460979
6.300000;131.460978
6.400000;131.460978
6.500000;131.460977
6.600000;131.460977
6.700000;131.460977
6.800000;131.460976
6.900000;131.460976
7.000000;131.460976
7.100000;131.460976
7.200000;131.460975
7.300000;131.460975
7.400000;131.460975
7.500000;131.460974
7.600000;131.460974
7.700000;131.460973
7.800000;131.460972
7.900000;131.460971
8.000000;131.460970
8.100000;131.460968
8.200000;131.460966
8.300000;131.460962
8.400000;131.460957
8.500000;131.460950
8.600000;131.460936
8.700000;131.460913
8.800000;131.460867
8.900000;131.460766
9.000000;131.460573
9.100000;131.461871
9.200000;131.459172
9.300000;131.461397
9.400000;131.461222
9.500000;131.461101
9.600000;131.461047
9.700000;131.461020
9.800000;131.461005
9.900000;131.460996
10.000000;131.460991
